"";"MONTH";"DIFFUSED";"DIRECT"
"1";1;160,165040091463;63,7809798728609
"2";2;290,564500620814;157,33866414396
"3";3;489,022348452528;367,745496697417
"4";4;710,984456660569;649,479336181001
"5";5;886,256973145973;895,224874762413
"6";6;979,841369789775;953,954921986897
"7";7;942,71476757082;897,885362110959
"8";8;807,122360021379;775,122236552444
"9";9;575,658547489353;528,050504590759
"10";10;350,972788981388;268,955380824382
"11";11;185,148114059391;80,4326265340148
"12";12;123,05896224999;39,8958681512629
